Order ID,Order Date,Customer ID,Category,Sales,Quantity,Discount,Profit
CA-2017-152156,08-11-2017,CG-12520,Furniture,261.96,8,0.05,39.294
CA-2017-152156,08-11-2017,CG-12520,Furniture,731.94,8,0.09,109.791
CA-2017-138688,12-06-2017,DV-13045,Office Supplies,14.62,2,0,2.193
US-2016-108966,11-10-2016,SO-20335,Furniture,957.5775,3,0.05,143.636625
US-2016-108966,11-10-2016,SO-20335,Office Supplies,22.368,6,0.1,3.3552
CA-2015-115812,09-06-2015,BH-11710,Furniture,48.86,1,0.06,7.329
CA-2015-115812,09-06-2015,BH-11710,Office Supplies,7.28,4,0.19,1.092
CA-2015-115812,09-06-2015,BH-11710,Technology,907.152,10,0.2,136.0728
CA-2015-115812,09-06-2015,BH-11710,Office Supplies,18.504,5,0.07,2.7756
CA-2015-115812,09-06-2015,BH-11710,Office Supplies,114.9,3,0.02,17.235
CA-2015-115812,09-06-2015,BH-11710,Furniture,1706.184,2,0.03,255.9276
CA-2015-115812,09-06-2015,BH-11710,Technology,911.424,3,0.2,136.7136
CA-2018-114412,15-04-2018,AA-10480,Office Supplies,15.552,10,0.14,2.3328
CA-2017-161389,05-12-2017,IM-15070,Office Supplies,407.976,3,0.17,61.1964
US-2016-118983,22-11-2016,HP-14815,Office Supplies,68.81,1,0.18,10.3215
US-2016-118983,22-11-2016,HP-14815,Office Supplies,2.544,5,0.2,0.3816
CA-2015-105893,11-11-2015,PK-19075,Office Supplies,665.88,6,0.12,99.882
CA-2015-167164,13-05-2015,AG-10270,Office Supplies,55.5,9,0.08,8.325
CA-2015-143336,27-08-2015,ZD-21925,Office Supplies,8.56,1,0,1.284
CA-2015-143336,27-08-2015,ZD-21925,Technology,213.48,8,0.01,32.022
CA-2015-143336,27-08-2015,ZD-21925,Office Supplies,22.72,10,0.14,3.408
CA-2017-137330,09-12-2017,KB-16585,Office Supplies,19.46,5,0.05,2.919
CA-2017-137330,09-12-2017,KB-16585,Office Supplies,60.34,8,0.18,9.051
US-2018-156909,16-07-2018,SF-20065,Furniture,71.372,6,0.01,10.7058
CA-2016-106320,25-09-2016,EB-13870,Furniture,1044.63,3,0.18,156.6945
CA-2017-121755,16-01-2017,EH-13945,Office Supplies,11.648,10,0.11,1.7472
CA-2017-121755,16-01-2017,EH-13945,Technology,90.57,9,0.04,13.5855
US-2016-150630,17-09-2016,TB-21520,Furniture,3083.43,3,0.09,462.5145
US-2016-150630,17-09-2016,TB-21520,Office Supplies,9.618,3,0.06,1.4427
US-2016-150630,17-09-2016,TB-21520,Furniture,124.2,8,0.11,18.63
US-2016-150630,17-09-2016,TB-21520,Office Supplies,3.264,3,0.04,0.4896
US-2016-150630,17-09-2016,TB-21520,Office Supplies,86.304,2,0.03,12.9456
US-2016-150630,17-09-2016,TB-21520,Office Supplies,6.858,4,0.17,1.0287
US-2016-150630,17-09-2016,TB-21520,Office Supplies,15.76,9,0.11,2.364
CA-2018-107727,19-10-2018,MA-17560,Office Supplies,29.472,2,0.12,4.4208
CA-2017-117590,08-12-2017,GH-14485,Technology,1097.544,9,0.18,164.6316
CA-2017-117590,08-12-2017,GH-14485,Furniture,190.92,6,0.01,28.638
CA-2016-117415,27-12-2016,SN-20710,Office Supplies,113.328,6,0.01,16.9992
CA-2016-117415,27-12-2016,SN-20710,Furniture,532.3992,6,0.02,79.85988
CA-2016-117415,27-12-2016,SN-20710,Furniture,212.058,3,0.12,31.8087
CA-2016-117415,27-12-2016,SN-20710,Technology,371.168,6,0.18,55.6752
CA-2018-120999,10-09-2018,LC-16930,Technology,147.168,10,0.09,22.0752
CA-2017-101343,17-07-2017,RA-19885,Office Supplies,77.88,7,0.06,11.682
CA-2018-139619,19-09-2018,ES-14080,Office Supplies,95.616,10,0.05,14.3424
CA-2017-118255,11-03-2017,ON-18715,Technology,45.98,3,0.2,6.897
CA-2017-118255,11-03-2017,ON-18715,Office Supplies,17.46,1,0.13,2.619
CA-2015-146703,20-10-2015,PO-18865,Office Supplies,211.96,2,0.14,31.794
CA-2017-169194,20-06-2017,LH-16900,Technology,45,1,0.2,6.75
CA-2017-169194,20-06-2017,LH-16900,Technology,21.8,4,0.02,3.27
CA-2016-115742,18-04-2016,DP-13000,Office Supplies,38.22,9,0.16,5.733
CA-2016-115742,18-04-2016,DP-13000,Office Supplies,75.18,1,0.18,11.277
CA-2016-115742,18-04-2016,DP-13000,Furniture,6.16,10,0.11,0.924
CA-2016-115742,18-04-2016,DP-13000,Furniture,89.99,5,0.11,13.4985
CA-2017-105816,11-12-2017,JM-15265,Office Supplies,15.26,7,0.17,2.289
CA-2017-105816,11-12-2017,JM-15265,Technology,1029.95,7,0.06,154.4925
CA-2017-111682,17-06-2017,TB-21055,Office Supplies,208.56,4,0.03,31.284
CA-2017-111682,17-06-2017,TB-21055,Office Supplies,32.4,6,0.17,4.86
CA-2017-111682,17-06-2017,TB-21055,Furniture,319.41,8,0.09,47.9115
CA-2017-111682,17-06-2017,TB-21055,Office Supplies,14.56,3,0.2,2.184
CA-2017-111682,17-06-2017,TB-21055,Technology,30,2,0.13,4.5
CA-2017-111682,17-06-2017,TB-21055,Office Supplies,48.48,2,0.12,7.272
CA-2017-111682,17-06-2017,TB-21055,Office Supplies,1.68,7,0.14,0.252
CA-2016-135545,24-11-2016,KM-16720,Technology,13.98,1,0.14,2.097
CA-2016-135545,24-11-2016,KM-16720,Office Supplies,25.824,4,0.2,3.8736
CA-2016-135545,24-11-2016,KM-16720,Office Supplies,146.73,3,0.04,22.0095
CA-2016-135545,24-11-2016,KM-16720,Furniture,79.76,5,0.17,11.964
US-2016-164175,30-04-2016,PS-18970,Furniture,213.115,9,0.12,31.96725
CA-2015-106376,05-12-2015,BS-11590,Office Supplies,1113.024,4,0,166.9536
CA-2015-106376,05-12-2015,BS-11590,Technology,167.968,1,0.14,25.1952
CA-2017-119823,04-06-2017,KD-16270,Office Supplies,75.88,4,0.03,11.382
CA-2017-106075,18-09-2017,HM-14980,Office Supplies,4.616,1,0.1,0.6924
CA-2018-114440,14-09-2018,TB-21520,Office Supplies,19.05,3,0.07,2.8575
US-2016-134026,26-04-2016,JE-15745,Furniture,831.936,8,0.03,124.7904
US-2016-134026,26-04-2016,JE-15745,Furniture,97.04,6,0.03,14.556
US-2016-134026,26-04-2016,JE-15745,Office Supplies,72.784,4,0.04,10.9176
US-2018-118038,09-12-2018,KB-16600,Office Supplies,1.248,6,0.14,0.1872
US-2018-118038,09-12-2018,KB-16600,Furniture,9.708,1,0.08,1.4562
US-2018-118038,09-12-2018,KB-16600,Office Supplies,27.24,1,0.08,4.086
US-2015-147606,26-11-2015,JE-15745,Furniture,19.3,5,0.04,2.895
CA-2017-127208,12-06-2017,SC-20770,Office Supplies,208.16,5,0.01,31.224
CA-2017-127208,12-06-2017,SC-20770,Office Supplies,16.74,5,0.04,2.511
CA-2015-139451,12-10-2015,DN-13690,Office Supplies,14.9,6,0.02,2.235
CA-2015-139451,12-10-2015,DN-13690,Office Supplies,21.39,7,0.12,3.2085
CA-2016-149734,03-09-2016,JC-16105,Office Supplies,200.984,9,0.01,30.1476
US-2018-119662,13-11-2018,CS-12400,Office Supplies,230.376,10,0.15,34.5564
CA-2018-140088,28-05-2018,PO-18865,Furniture,301.96,3,0.11,45.294
CA-2018-155558,26-10-2018,PG-18895,Technology,19.99,6,0.16,2.9985
CA-2018-155558,26-10-2018,PG-18895,Office Supplies,6.16,7,0.2,0.924
CA-2017-159695,05-04-2017,GM-14455,Office Supplies,158.368,8,0,23.7552
CA-2017-109806,17-09-2017,JS-15685,Office Supplies,20.1,1,0.09,3.015
CA-2017-109806,17-09-2017,JS-15685,Technology,73.584,4,0.12,11.0376
CA-2017-109806,17-09-2017,JS-15685,Office Supplies,6.48,7,0.19,0.972
CA-2016-149587,31-01-2016,KB-16315,Office Supplies,12.96,3,0.19,1.944
CA-2016-149587,31-01-2016,KB-16315,Furniture,53.34,9,0.16,8.001
CA-2016-149587,31-01-2016,KB-16315,Office Supplies,32.96,6,0.06,4.944
US-2018-109484,06-11-2018,RB-19705,Office Supplies,5.682,10,0.01,0.8523
CA-2018-161018,09-11-2018,PN-18775,Furniture,96.53,10,0.05,14.4795
CA-2018-157833,17-06-2018,KD-16345,Office Supplies,51.312,2,0.06,7.6968
CA-2017-149223,06-09-2017,ER-13855,Office Supplies,77.88,3,0.12,11.682
CA-2017-158568,29-08-2017,RB-19465,Office Supplies,64.624,1,0.18,9.6936
CA-2017-158568,29-08-2017,RB-19465,Technology,95.976,3,0.11,14.3964
CA-2017-158568,29-08-2017,RB-19465,Office Supplies,1.788,6,0.1,0.2682
CA-2017-129903,01-12-2017,GZ-14470,Office Supplies,23.92,5,0.08,3.588
US-2016-156867,13-11-2016,LC-16870,Technology,238.896,7,0.03,35.8344
US-2016-156867,13-11-2016,LC-16870,Furniture,102.36,9,0.03,15.354
US-2016-156867,13-11-2016,LC-16870,Office Supplies,36.882,5,0.15,5.5323
CA-2018-119004,23-11-2018,JM-15250,Technology,74.112,9,0.1,11.1168
CA-2018-119004,23-11-2018,JM-15250,Technology,27.992,10,0.15,4.1988
CA-2018-119004,23-11-2018,JM-15250,Office Supplies,3.304,4,0.09,0.4956
CA-2016-129476,15-10-2016,PA-19060,Technology,339.96,2,0.17,50.994
CA-2018-146780,25-12-2018,CV-12805,Furniture,41.96,10,0.03,6.294
CA-2017-128867,03-11-2017,CL-12565,Office Supplies,75.96,2,0.11,11.394
CA-2017-128867,03-11-2017,CL-12565,Office Supplies,27.24,7,0.07,4.086
CA-2015-115259,25-08-2015,RC-19960,Office Supplies,40.096,10,0.15,6.0144
CA-2015-115259,25-08-2015,RC-19960,Office Supplies,4.72,4,0.18,0.708
CA-2015-115259,25-08-2015,RC-19960,Office Supplies,23.976,10,0.09,3.5964
CA-2015-115259,25-08-2015,RC-19960,Office Supplies,130.464,4,0.03,19.5696
CA-2016-110457,02-03-2016,DK-13090,Furniture,787.53,5,0.18,118.1295
US-2016-136476,05-04-2016,GG-14650,Office Supplies,157.794,4,0.13,23.6691
CA-2017-103730,12-06-2017,SC-20725,Furniture,47.04,5,0.08,7.056
CA-2017-103730,12-06-2017,SC-20725,Office Supplies,30.84,5,0.07,4.626
CA-2017-103730,12-06-2017,SC-20725,Office Supplies,226.56,9,0.09,33.984
CA-2017-103730,12-06-2017,SC-20725,Office Supplies,115.02,10,0.16,17.253
CA-2017-103730,12-06-2017,SC-20725,Technology,68.04,8,0.15,10.206
US-2015-152030,26-12-2015,AD-10180,Furniture,600.558,6,0.14,90.0837
US-2015-134614,20-09-2015,PF-19165,Furniture,617.7,9,0.03,92.655
US-2018-107272,05-11-2018,TS-21610,Office Supplies,2.388,9,0.03,0.3582
US-2018-107272,05-11-2018,TS-21610,Office Supplies,243.992,6,0,36.5988
US-2017-125969,06-11-2017,LS-16975,Furniture,81.424,4,0.19,12.2136
US-2017-125969,06-11-2017,LS-16975,Furniture,238.56,2,0.03,35.784
US-2018-164147,02-02-2018,DW-13585,Technology,59.97,6,0.1,8.9955
US-2018-164147,02-02-2018,DW-13585,Office Supplies,78.304,10,0.02,11.7456
US-2018-164147,02-02-2018,DW-13585,Office Supplies,21.456,5,0,3.2184
CA-2017-145583,13-10-2017,LC-16885,Office Supplies,20.04,1,0.05,3.006
CA-2017-145583,13-10-2017,LC-16885,Office Supplies,35.44,1,0.15,5.316
CA-2017-145583,13-10-2017,LC-16885,Office Supplies,11.52,4,0.1,1.728
CA-2017-145583,13-10-2017,LC-16885,Office Supplies,4.02,6,0.18,0.603
CA-2017-145583,13-10-2017,LC-16885,Office Supplies,76.176,2,0.08,11.4264
CA-2017-145583,13-10-2017,LC-16885,Office Supplies,65.88,8,0,9.882
CA-2017-145583,13-10-2017,LC-16885,Furniture,43.12,3,0.04,6.468
CA-2017-110366,05-09-2017,JD-15895,Furniture,82.8,4,0.13,12.42
CA-2018-106180,18-09-2018,SH-19975,Office Supplies,8.82,7,0.05,1.323
CA-2018-106180,18-09-2018,SH-19975,Office Supplies,10.86,1,0.17,1.629
CA-2018-106180,18-09-2018,SH-19975,Office Supplies,143.7,3,0.02,21.555
CA-2018-155376,22-12-2018,SG-20080,Office Supplies,839.43,7,0.17,125.9145
CA-2016-110744,07-09-2016,HA-14920,Office Supplies,671.93,8,0.06,100.7895
CA-2015-110072,22-10-2015,MG-17680,Furniture,93.888,5,0.2,14.0832
CA-2017-114489,05-12-2017,JE-16165,Technology,384.45,10,0.06,57.6675
CA-2017-114489,05-12-2017,JE-16165,Technology,149.97,6,0.05,22.4955
CA-2017-114489,05-12-2017,JE-16165,Furniture,1951.84,6,0.14,292.776
CA-2017-114489,05-12-2017,JE-16165,Office Supplies,171.55,5,0.18,25.7325
CA-2017-158834,13-03-2017,TW-21025,Office Supplies,157.92,10,0.04,23.688
CA-2017-158834,13-03-2017,TW-21025,Technology,203.184,9,0.04,30.4776
CA-2016-124919,31-05-2016,SP-20650,Office Supplies,58.38,4,0.11,8.757
CA-2016-124919,31-05-2016,SP-20650,Office Supplies,105.52,2,0.08,15.828
CA-2016-124919,31-05-2016,SP-20650,Office Supplies,80.88,7,0.02,12.132
CA-2016-118948,28-05-2016,NK-18490,Office Supplies,6.63,3,0.2,0.9945
CA-2015-104269,01-03-2015,DB-13060,Furniture,457.568,6,0.15,68.6352
CA-2017-114104,20-11-2017,NP-18670,Office Supplies,14.62,4,0.08,2.193
CA-2017-114104,20-11-2017,NP-18670,Technology,944.93,5,0.18,141.7395
CA-2017-162733,11-05-2017,TT-21070,Office Supplies,5.98,4,0.06,0.897
CA-2016-119697,28-12-2016,EM-13960,Technology,54.384,9,0.19,8.1576
CA-2017-154508,16-11-2017,RD-19900,Office Supplies,28.4,5,0.04,4.26
CA-2017-113817,07-11-2017,MJ-17740,Office Supplies,27.68,7,0.15,4.152
CA-2015-139892,08-09-2015,BM-11140,Office Supplies,9.936,5,0.07,1.4904
CA-2015-139892,08-09-2015,BM-11140,Technology,8159.952,9,0.18,1223.9928
CA-2015-139892,08-09-2015,BM-11140,Office Supplies,275.928,8,0.16,41.3892
CA-2015-139892,08-09-2015,BM-11140,Furniture,1740.06,7,0.02,261.009
CA-2015-139892,08-09-2015,BM-11140,Office Supplies,32.064,8,0.15,4.8096
CA-2015-139892,08-09-2015,BM-11140,Office Supplies,177.98,7,0.11,26.697
CA-2015-139892,08-09-2015,BM-11140,Technology,143.976,6,0.03,21.5964
CA-2015-118962,05-08-2015,CS-12130,Office Supplies,20.94,6,0.17,3.141
CA-2015-118962,05-08-2015,CS-12130,Office Supplies,110.96,3,0.08,16.644
CA-2015-118962,05-08-2015,CS-12130,Furniture,340.144,9,0.01,51.0216
US-2015-100853,14-09-2015,JB-15400,Office Supplies,52.448,1,0.06,7.8672
US-2015-100853,14-09-2015,JB-15400,Office Supplies,20.16,4,0.15,3.024
US-2018-152366,21-04-2018,SJ-20500,Office Supplies,97.264,10,0.01,14.5896
US-2016-101511,21-11-2016,JE-15745,Furniture,396.802,4,0.18,59.5203
US-2016-101511,21-11-2016,JE-15745,Office Supplies,15.88,8,0.07,2.382
CA-2016-137225,15-12-2016,JK-15640,Office Supplies,3.28,7,0.17,0.492
CA-2015-166191,05-12-2015,DK-13150,Office Supplies,24.816,2,0.12,3.7224
CA-2015-166191,05-12-2015,DK-13150,Technology,408.744,3,0.07,61.3116
CA-2015-158274,19-11-2015,RM-19675,Technology,503.96,5,0.06,75.594
CA-2015-158274,19-11-2015,RM-19675,Technology,149.95,7,0.02,22.4925
CA-2015-158274,19-11-2015,RM-19675,Technology,29,4,0.17,4.35
CA-2017-105018,28-11-2017,SK-19990,Office Supplies,7.16,1,0.2,1.074
CA-2015-123260,26-08-2015,FM-14290,Technology,176.8,2,0.08,26.52
CA-2017-157000,16-07-2017,AM-10360,Office Supplies,37.224,3,0.02,5.5836
